id,label,count
Assan (Dragon Age),Assan (Dragon Age),132
Neve Gallus,Neve Gallus,615
Miya Atsumu and Miya Osamu's Parents,Miya Atsumu and Miya Osamu's Parents,216
Sakusa Kiyoomi's Family,Sakusa Kiyoomi's Family,144
Hua Cheng (Tian Guan Ci Fu),Hua Cheng (Tian Guan Ci Fu),4966
Zhou Zishu,Zhou Zishu,1874
Rendog (Video Blogging RPF),Rendog (Video Blogging RPF),1919
Skizzleman (Video Blogging RPF),Skizzleman (Video Blogging RPF),1146
George Samuel Kirk,George Samuel Kirk,338
Joseph M'Benga,Joseph M'Benga,435
Jessie (Compilation of FFVII),Jessie (Compilation of FFVII),118
Marlene Wallace,Marlene Wallace,250
Daniel Jackson,Daniel Jackson,9698
Kaleb Miller,Kaleb Miller,104
Rook (Dragon Age),Rook (Dragon Age),1972
Taash (Dragon Age),Taash (Dragon Age),400
Combeferre,Combeferre,488
Joly,Joly,187
Geoffrey M'Benga,Geoffrey M'Benga,272
Ayda Aguefort,Ayda Aguefort,244
Kristen Applebees,Kristen Applebees,712
Illyana Rasputin,Illyana Rasputin,244
Jean Grey,Jean Grey,1861
Arnold Cunningham,Arnold Cunningham,305
Trina (Falsettos),Trina (Falsettos),606
"Creativity | Roman ""Princey"" Sanders","Creativity | Roman ""Princey"" Sanders",5775
The Skull (Lockwood & Co.),The Skull (Lockwood & Co.),108
Aurora Blake,Aurora Blake,234
Octavia Blake,Octavia Blake,9703
Kenny McCormick,Kenny McCormick,8700
Stephen Stotch,Stephen Stotch,227
Balinor (Merlin),Balinor (Merlin),730
Uther Pendragon (Merlin),Uther Pendragon (Merlin),4210
Vanitas (Kingdom Hearts),Vanitas (Kingdom Hearts),1129
Hino Rei,Hino Rei,557
Prince Endymion,Prince Endymion,122
Trophy (Inanimate Insanity),Trophy (Inanimate Insanity),420
Yang (Inanimate Insanity),Yang (Inanimate Insanity),145
Nathaniel (My Candy Love),Nathaniel (My Candy Love),160
Marinette Dupain-Cheng,Marinette Dupain-Cheng,10362
Joker | Weeping Clown,Joker | Weeping Clown,251
Omega (Ghost Sweden Band),Omega (Ghost Sweden Band),376
Papa Emeritus I,Papa Emeritus I,837
Miles Quaritch,Miles Quaritch,509
Alexis Mac Allister,Alexis Mac Allister,158
Cody Gakpo,Cody Gakpo,132
Power (Chainsaw Man),Power (Chainsaw Man),501
Reze (Chainsaw Man),Reze (Chainsaw Man),180
Brian Kinney,Brian Kinney,1532
Ted Schmidt,Ted Schmidt,872
Aoi (the GazettE),Aoi (the GazettE),676
Hyde (L'Arc~en~Ciel | VAMPS),Hyde (L'Arc~en~Ciel | VAMPS),129
KirinDave,KirinDave,129
Lewis Brindley | Xephos,Lewis Brindley | Xephos,232
Pekoyama Peko,Pekoyama Peko,569
Tanaka Gundham,Tanaka Gundham,451
Lucifer,Lucifer,2753
Celty Sturluson,Celty Sturluson,914
Kadota Kyouhei,Kadota Kyouhei,425
Max Thompson Jr. | The Hillbilly,Max Thompson Jr. | The Hillbilly,142
Philip Ojomo | The Wraith,Philip Ojomo | The Wraith,244
Kira Yukimura,Kira Yukimura,7546
Satomi Ito,Satomi Ito,136
Sheriff Stilinski (mentioned),Sheriff Stilinski (mentioned),170
Marui Bunta,Marui Bunta,234
Sanada Genichirou,Sanada Genichirou,816
Beryl Patmore,Beryl Patmore,217
Robert Crawley,Robert Crawley,563
Tomas Ortega,Tomas Ortega,279
Kang Hyunggu | Kino,Kang Hyunggu | Kino,408
Yeo Changgu | Yeo One,Yeo Changgu | Yeo One,274
Elsa (Disney),Elsa (Disney),1573
Eugene Fitzherbert | Flynn Rider,Eugene Fitzherbert | Flynn Rider,1002
Samuel Vimes,Samuel Vimes,908
Ironhide,Ironhide,123
Sunstreaker,Sunstreaker,129
Claire Temple,Claire Temple,775
Frank Castle,Frank Castle,1908
Parrish (Stargate Atlantis),Parrish (Stargate Atlantis),330
Sam Carter,Sam Carter,5933
RED Soldier (Team Fortress 2),RED Soldier (Team Fortress 2),113
Scout (Team Fortress 2),Scout (Team Fortress 2),3563
Camilla Macaulay,Camilla Macaulay,220
Henry Winter,Henry Winter,301
Kanade Rindo,Kanade Rindo,240
Kariya Koki,Kariya Koki,118
Aubrey (OMORI),Aubrey (OMORI),3912
Cris | Blue-Haired Girl,Cris | Blue-Haired Girl,125
Denethor,Denethor,335
Legolas,Legolas,1426
Cheadle Yorkshire,Cheadle Yorkshire,128
Isaac Netero,Isaac Netero,106
Kamek | Magikoopa (Super Mario),Kamek | Magikoopa (Super Mario),268
Ludwig von Koopa,Ludwig von Koopa,101
The Dursleys,The Dursleys,263
Blitzwing (Transformers),Blitzwing (Transformers),310
Uruha (the GazettE),Uruha (the GazettE),711
Daruk (Legend of Zelda),Daruk (Legend of Zelda),457
Zelda,Zelda,376
Sam Yao,Sam Yao,503
Simon Lauchlan,Simon Lauchlan,183
Peter Vincent,Peter Vincent,123
Christine Chapel,Christine Chapel,2360
Ash Lynx,Ash Lynx,2164
Nadia Wong,Nadia Wong,121
Aaarrrgghh (Tales of Arcadia),Aaarrrgghh (Tales of Arcadia),246
Mary Wang,Mary Wang,102
Ubbe (Vikings),Ubbe (Vikings),528
Aizawa Shouta | Eraserhead's Family,Aizawa Shouta | Eraserhead's Family,156
Paladin Danse (Fallout),Paladin Danse (Fallout),470
Makio (Kimetsu no Yaiba),Makio (Kimetsu no Yaiba),112
Shinazugawa Sanemi,Shinazugawa Sanemi,1004
"Atsuko ""Akko"" Kagari","Atsuko ""Akko"" Kagari",1093
Mirage | Elliott Witt,Mirage | Elliott Witt,665
Huxley (Redacted ASMR),Huxley (Redacted ASMR),206
Milo Greer,Milo Greer,151
Dustin Henderson,Dustin Henderson,19228
Fred Benson,Fred Benson,100
Bart Allen,Bart Allen,1282
Jaime Reyes,Jaime Reyes,666
Damien Moreau,Damien Moreau,178
Dottie Underwood,Dottie Underwood,230
Peggy Carter,Peggy Carter,4999
AbsoluteSolver (Murder Drones),AbsoluteSolver (Murder Drones),323
Tessa James Elliot,Tessa James Elliot,343
Hedwig,Hedwig,154
Henry Spencer,Henry Spencer,545
Maggie (Good Omens),Maggie (Good Omens),903
The Bentley (Good Omens),The Bentley (Good Omens),329
Nagini,Nagini,127
Isak Valtersen,Isak Valtersen,3793
Martino Rametta,Martino Rametta,281
Jake Park,Jake Park,596
Susie Lavoie,Susie Lavoie,190
Riley Andersen,Riley Andersen,284
Jounouchi Katsuya | Joey Wheeler,Jounouchi Katsuya | Joey Wheeler,2956
Kisara (Yu-Gi-Oh),Kisara (Yu-Gi-Oh),142
Bootstrap Bill Turner,Bootstrap Bill Turner,171
Calypso | Tia Dalma,Calypso | Tia Dalma,197
Butters Stotch,Butters Stotch,1065
Timmy Burch,Timmy Burch,311
Mizoguchi Sadayuki,Mizoguchi Sadayuki,128
Yamaguchi Tadashi,Yamaguchi Tadashi,10175
Crutchie | Crutchy (Newsies),Crutchie | Crutchy (Newsies),216
Oscar Delancey,Oscar Delancey,116
Hugo Lloris,Hugo Lloris,106
Olivier Giroud,Olivier Giroud,374
Shinsou Hitoshi,Shinsou Hitoshi,20394
Todoroki Touya,Todoroki Touya,517
Morris Delancey,Morris Delancey,115
Racetrack Higgins,Racetrack Higgins,986
Opal (Avatar),Opal (Avatar),989
Suyin Beifong,Suyin Beifong,587
Buford van Stomm,Buford van Stomm,210
Jeremy Johnson,Jeremy Johnson,100
Heavy (Team Fortress Classic),Heavy (Team Fortress Classic),163
Spy (Team Fortress 2),Spy (Team Fortress 2),3104
Roy (Fire Emblem),Roy (Fire Emblem),144
Hatake Kakashi,Hatake Kakashi,22211
Nara Yoshino,Nara Yoshino,380
Togo Hifumi,Togo Hifumi,182
Octane | Octavio Silva,Octane | Octavio Silva,360
Junkrat | Jamison Fawkes,Junkrat | Jamison Fawkes,3112
Torbjörn Lindholm,Torbjörn Lindholm,1127
K.K. (Kekkai Sensen),K.K. (Kekkai Sensen),111
Klaus von Reinherz,Klaus von Reinherz,330
Jaheira (Baldur's Gate),Jaheira (Baldur's Gate),1444
Minthara Baenre,Minthara Baenre,890
Original Malfoy Characters (Harry Potter),Original Malfoy Characters (Harry Potter),322
Catherine Willows,Catherine Willows,822
Pomni (The Amazing Digital Circus),Pomni (The Amazing Digital Circus),1964
Queenie (The Amazing Digital Circus),Queenie (The Amazing Digital Circus),196
Alit (Yu-Gi-Oh),Alit (Yu-Gi-Oh),134
IV | Thomas Arclight,IV | Thomas Arclight,261
Gaius van Baelsar,Gaius van Baelsar,258
Yellow Diamond (Steven Universe),Yellow Diamond (Steven Universe),1223
America (Hetalia),America (Hetalia),7574
Hungary (Hetalia),Hungary (Hetalia),1346
Debbie Gallagher,Debbie Gallagher,1784
"Frances ""Franny"" Gallagher","Frances ""Franny"" Gallagher",212
Ayasato Chihiro | Mia Fey,Ayasato Chihiro | Mia Fey,1193
Ayasato Maiko | Misty Fey,Ayasato Maiko | Misty Fey,110
Felix Kranken,Felix Kranken,168
Rosemary Walten,Rosemary Walten,103
Jack Pattillo,Jack Pattillo,4172
Miles Luna,Miles Luna,448
Seer | Obi Edolasim,Seer | Obi Edolasim,105
Augusta Longbottom,Augusta Longbottom,857
Lishui Dieshan Zhenjun | Mountain Shaper,Lishui Dieshan Zhenjun | Mountain Shaper,138
Embry Call,Embry Call,341
Leah Clearwater,Leah Clearwater,677
Marcel | BasicallyIDoWrk,Marcel | BasicallyIDoWrk,273
Matt | BlargMyShnoople,Matt | BlargMyShnoople,144
Stacker Pentecost,Stacker Pentecost,1337
Yancy Becket,Yancy Becket,869
Jiraiya (Naruto),Jiraiya (Naruto),2788
Uchiha Shisui,Uchiha Shisui,2991
Alice (Alice in Wonderland),Alice (Alice in Wonderland),158
Alice Kingsleigh,Alice Kingsleigh,253
Mike Schmidt,Mike Schmidt,421
Eleventh Doctor,Eleventh Doctor,4472
The Master (Simm),The Master (Simm),1396
AJ | Alvin Jr. (Walking Dead Video Game),AJ | Alvin Jr. (Walking Dead Video Game),310
Aasim (Walking Dead Video Game),Aasim (Walking Dead Video Game),103
Boomer (PPG),Boomer (PPG),143
Buttercup Utonium,Buttercup Utonium,374
Ben Miller (Triple Frontier),Ben Miller (Triple Frontier),311
"William ""Ironhead"" Miller","William ""Ironhead"" Miller",329
Laura Hollis,Laura Hollis,3851
Lilita Morgan,Lilita Morgan,161
Aoi Hinata,Aoi Hinata,489
Narukami Arashi,Narukami Arashi,1151
Simon Brezhnev,Simon Brezhnev,170
Akagami no Shanks | Red-Haired Shanks,Akagami no Shanks | Red-Haired Shanks,4289
Izou (One Piece),Izou (One Piece),1044
Catriona Cordella,Catriona Cordella,115
Lilith Sorrengail,Lilith Sorrengail,205
DJ Suki (Trolls),DJ Suki (Trolls),122
Floyd (Trolls),Floyd (Trolls),1429
Cindy Moon,Cindy Moon,121
Michelle Jones (Marvel),Michelle Jones (Marvel),293
Honerva (Voltron),Honerva (Voltron),104
Krolia (Voltron),Krolia (Voltron),2609
Arianne Martell,Arianne Martell,213
Tywin Lannister,Tywin Lannister,736
Nathan Jackson,Nathan Jackson,988
Vin Tanner,Vin Tanner,1682
Levi (Shingeki no Kyojin),Levi (Shingeki no Kyojin),18569
mentions of other characters,mentions of other characters,867
查理苏,查理苏,219
萧逸,萧逸,399
Nakamura Rio,Nakamura Rio,439
Yoshida Taisei,Yoshida Taisei,104
Eliza Danvers,Eliza Danvers,1534
Jimmy Olsen,Jimmy Olsen,1366
Myoujin Yahiko,Myoujin Yahiko,138
Sagara Sanosuke,Sagara Sanosuke,209
Callum (The Dragon Prince),Callum (The Dragon Prince),1653
Ezran (The Dragon Prince),Ezran (The Dragon Prince),880
Uzui Tengen,Uzui Tengen,871
Amaya Jiwe,Amaya Jiwe,801
Nate Heywood,Nate Heywood,995
Tachibana Makoto's Mother,Tachibana Makoto's Mother,142
Yamazaki Sousuke,Yamazaki Sousuke,4532
James Neal,James Neal,294
Jordan Staal,Jordan Staal,213
CatNap (Poppy Playtime),CatNap (Poppy Playtime),1036
Hakamata Tsunagu | Best Jeanist,Hakamata Tsunagu | Best Jeanist,1286
Donna (The Black Phone),Donna (The Black Phone),262
Slipstream (Transformers),Slipstream (Transformers),111
Steeljaw (Transformers),Steeljaw (Transformers),109
Aria T'Loak,Aria T'Loak,474
Erina Pendleton Joestar,Erina Pendleton Joestar,258
Kakyoin Noriaki,Kakyoin Noriaki,3861
Kira Carsen,Kira Carsen,129
Malavai Quinn,Malavai Quinn,317
Elf | Elves,Elf | Elves,124
Hobbit(s),Hobbit(s),231
Alexander Semin,Alexander Semin,149
Braden Holtby,Braden Holtby,148
Diane Foxington,Diane Foxington,176
Ms. Tarantula (The Bad Guys),Ms. Tarantula (The Bad Guys),169
Ronaldo Fryman,Ronaldo Fryman,204
Vidalia (Steven Universe),Vidalia (Steven Universe),187
Brimsley (Bridgerton),Brimsley (Bridgerton),111
Penelope Featherington,Penelope Featherington,2087
Fix-It Felix Jr.,Fix-It Felix Jr.,329
Tamora Calhoun,Tamora Calhoun,236
Eruhaben (Lout of Count's Family),Eruhaben (Lout of Count's Family),360
Lock (Lout of Count's Family),Lock (Lout of Count's Family),174
Henri Brown,Henri Brown,388
Jack Harkness,Jack Harkness,11853
Lisa Hallett,Lisa Hallett,337
Pino | Rody Soul's Bird,Pino | Rody Soul's Bird,207
Takami Keigo | Hawks,Takami Keigo | Hawks,11246
Lila Rossi,Lila Rossi,2145
Trixx (Miraculous Ladybug),Trixx (Miraculous Ladybug),359
Ozpin (RWBY),Ozpin (RWBY),2130
Russel Thrush,Russel Thrush,104
Jude Bellingham,Jude Bellingham,1001
Trent Alexander-Arnold,Trent Alexander-Arnold,569
"Cremisius ""Krem"" Aclassi","Cremisius ""Krem"" Aclassi",793
Halward Pavus,Halward Pavus,136
Mu Qing,Mu Qing,117
Yin Yu (Tian Guan Ci Fu),Yin Yu (Tian Guan Ci Fu),818
Shrek (Shrek),Shrek (Shrek),265
Cynthia-Rose Adams,Cynthia-Rose Adams,483
Emily Junk,Emily Junk,873
Major Lilywhite,Major Lilywhite,111
Peyton Charles,Peyton Charles,108
Cleo (Outer Banks),Cleo (Outer Banks),635
"Kiara ""Kie"" Carrera","Kiara ""Kie"" Carrera",1679
Even Bech Næsheim,Even Bech Næsheim,3627
Marianne Valtersen,Marianne Valtersen,113
Gadreel,Gadreel,363
Jung Hoseok,Jung Hoseok,574
V,V,261
Dina (The Last of Us),Dina (The Last of Us),748
JJ (The Last of Us),JJ (The Last of Us),139
Jo (Total Drama),Jo (Total Drama),445
Staci (Total Drama),Staci (Total Drama),293
Cid Sophiar,Cid Sophiar,378
Regis Lucis Caelum CXIII,Regis Lucis Caelum CXIII,1893
Kenny Ackerman,Kenny Ackerman,1619
Rod Reiss,Rod Reiss,200
Anthony Mackie,Anthony Mackie,185
Benedict Cumberbatch,Benedict Cumberbatch,619
Blade (Honkai: Star Rail),Blade (Honkai: Star Rail),7548
Robin (Honkai: Star Rail),Robin (Honkai: Star Rail),1119
Grace Ryder (9-1-1 Lone Star),Grace Ryder (9-1-1 Lone Star),324
Gwyneth Morgan,Gwyneth Morgan,200
Nick (Only Friends Thailand TV),Nick (Only Friends Thailand TV),294
Hogwarts School of Witchcraft and Wizardry,Hogwarts School of Witchcraft and Wizardry,171
Hogwarts Staff,Hogwarts Staff,1049
Fangs Fogarty,Fangs Fogarty,944
Jughead Jones,Jughead Jones,5298
Enobaria (Hunger Games),Enobaria (Hunger Games),134
Gloss (Hunger Games),Gloss (Hunger Games),124
Chloe Price (Life is Strange),Chloe Price (Life is Strange),3182
Hunter | The Golden Guard (The Owl House),Hunter | The Golden Guard (The Owl House),9216
The Titan (The Owl House),The Titan (The Owl House),176
Francis Dolarhyde,Francis Dolarhyde,392
Matthew Brown (Hannibal),Matthew Brown (Hannibal),748
Feferi Peixes,Feferi Peixes,3599
Kamihara Shinya | Edgeshot,Kamihara Shinya | Edgeshot,338
Castiel,Castiel,64118
Leviathans (Supernatural),Leviathans (Supernatural),186
Chase (Total Drama),Chase (Total Drama),406
Zee (Total Drama),Zee (Total Drama),286
Liz Birdsworth,Liz Birdsworth,125
Will Jackson,Will Jackson,130
Leon (Merlin),Leon (Merlin),5401
Vivian (Merlin),Vivian (Merlin),333
Dino Golzine,Dino Golzine,172
Shorter Wong,Shorter Wong,729
America (Hetalia: Axis Powers),America (Hetalia: Axis Powers),6184
Prussia (Hetalia: Axis Powers),Prussia (Hetalia: Axis Powers),3499
Gauche Adlai,Gauche Adlai,192
Grey (Black Clover),Grey (Black Clover),191
Asmodeus | Ozzie,Asmodeus | Ozzie,644
Clay | Dream (Video Blogging RPF),Clay | Dream (Video Blogging RPF),10062
Grayson | Purpled (Video Blogging RPF),Grayson | Purpled (Video Blogging RPF),1110
Rita Skeeter,Rita Skeeter,1479
Kozume Kenma's Parents,Kozume Kenma's Parents,115
Yamamoto Taketora,Yamamoto Taketora,977
Lu Chen | Evan,Lu Chen | Evan,243
Zha Lisu | Charlie,Zha Lisu | Charlie,117
Actor Mark (Who Killed Markiplier?),Actor Mark (Who Killed Markiplier?),175
Bim Trimmer,Bim Trimmer,194
Lingsha (Honkai: Star Rail),Lingsha (Honkai: Star Rail),115
Tingyun (Honkai: Star Rail),Tingyun (Honkai: Star Rail),283
Anna (Fire Emblem),Anna (Fire Emblem),249
Ephraim (Fire Emblem),Ephraim (Fire Emblem),132
Deputy (Far Cry),Deputy (Far Cry),212
Nick Rye,Nick Rye,136
Boulder (Transformers),Boulder (Transformers),114
Heatwave (Transformers),Heatwave (Transformers),200
Oda Sakunosuke (Bungou Stray Dogs),Oda Sakunosuke (Bungou Stray Dogs),4929
Oda Sakunosuke's Children (Bungou Stray Dogs),Oda Sakunosuke's Children (Bungou Stray Dogs),198
Donna Way,Donna Way,216
Frank Iero,Frank Iero,7356
Johan (The Adventure Zone),Johan (The Adventure Zone),122
Magnus Burnsides,Magnus Burnsides,2889
Kino Makoto,Kino Makoto,482
Kunzite (Sailor Moon),Kunzite (Sailor Moon),492
Bo-Katan Kryze,Bo-Katan Kryze,588
Ares (Percy Jackson),Ares (Percy Jackson),353
Hades (Percy Jackson),Hades (Percy Jackson),901
Ayano Aishi | Yandere-chan,Ayano Aishi | Yandere-chan,512
Amanda Grayson,Amanda Grayson,1374
Hikaru Sulu,Hikaru Sulu,3432
Poppy Sweeting,Poppy Sweeting,908
Solomon Sallow,Solomon Sallow,209
Brick (The Powerpuff Girls),Brick (The Powerpuff Girls),104
Bubbles Utonium,Bubbles Utonium,335
Arya Stark,Arya Stark,3199
Ygritte,Ygritte,176
Fenrys Moonbeam,Fenrys Moonbeam,151
Nesta Archeron,Nesta Archeron,3336
Tousen Kaname,Tousen Kaname,284
Ulquiorra Cifer,Ulquiorra Cifer,1157
Chase Brody,Chase Brody,401
Shawn Flynn,Shawn Flynn,230
Fenris (Dragon Age),Fenris (Dragon Age),3217
Orsino (Dragon Age),Orsino (Dragon Age),125
Baze Malbus,Baze Malbus,1151
Jyn Erso,Jyn Erso,2645
Robin (DCU),Robin (DCU),915
Dirk Gently,Dirk Gently,1316
Scott Riggins,Scott Riggins,104
Donquixote Pirates,Donquixote Pirates,100
Monkey D. Luffy,Monkey D. Luffy,19997
Sweden (Hetalia: Axis Powers),Sweden (Hetalia: Axis Powers),834
Sandy,Sandy,212
Hot Rod (Transformers),Hot Rod (Transformers),281
Mapicc (Video Blogging RPF),Mapicc (Video Blogging RPF),395
Wemmbu (Video Blogging RPF),Wemmbu (Video Blogging RPF),118
Matsuno Matsuyo,Matsuno Matsuyo,433
Matsuno Matsuzo,Matsuno Matsuzo,291
Yaku Morisuke,Yaku Morisuke,2969
James Rhodes,James Rhodes,298
Rhysand,Rhysand,576
Oisin Hakinvar,Oisin Hakinvar,179
Sandralynn Faeth,Sandralynn Faeth,203
Susan Bones,Susan Bones,2114
Daybit Sem Void,Daybit Sem Void,203
Fujimaru Ritsuka,Fujimaru Ritsuka,711
Falco Lombardi,Falco Lombardi,207
Meta Knight,Meta Knight,762
Barriss Offee,Barriss Offee,269
Yoda (Star Wars),Yoda (Star Wars),847
Gale Weathers,Gale Weathers,431
Wes Hicks,Wes Hicks,199
Danneel Harris,Danneel Harris,1483
Jason Manns,Jason Manns,124
Ymir (Shingeki no Kyojin),Ymir (Shingeki no Kyojin),3368
Cameron Mitchell,Cameron Mitchell,896
SG-1 Team,SG-1 Team,176
Keqing (Genshin Impact),Keqing (Genshin Impact),1827
Ningguang (Genshin Impact),Ningguang (Genshin Impact),2901
Martin Stein,Martin Stein,874
France (Hetalia),France (Hetalia),4575
Taiwan (Hetalia),Taiwan (Hetalia),229
Isurugi Futaba,Isurugi Futaba,155
Tsuyuzaki Mahiru,Tsuyuzaki Mahiru,184
Doug (Our Flag Means Death),Doug (Our Flag Means Death),676
Stede Bonnet,Stede Bonnet,20903
OMCs,OMCs,501
Freddy Riley | Lawyer,Freddy Riley | Lawyer,146
Jose Baden | First Officer,Jose Baden | First Officer,307
Alexandra Garcia,Alexandra Garcia,350
Kiseki no Sedai | Generation of Miracles,Kiseki no Sedai | Generation of Miracles,1576
Alex Parvis,Alex Parvis,220
Sips,Sips,286
Jenny Mills,Jenny Mills,573
Joe Corbin,Joe Corbin,107
Morrigan (Dragon Age),Morrigan (Dragon Age),991
Vivienne (Dragon Age),Vivienne (Dragon Age),1017
"August ""Auggie"" Matthews","August ""Auggie"" Matthews",118
Maya Hart,Maya Hart,1718
Sans (swapfell),Sans (swapfell),160
Financier Cookie (Cookie Run),Financier Cookie (Cookie Run),228
John Watson's Father,John Watson's Father,134
Sherlock Holmes,Sherlock Holmes,67050
Ben Matheson,Ben Matheson,148
Jeremy Baker,Jeremy Baker,233
Fuji Shuusuke,Fuji Shuusuke,1588
Amy Matthews,Amy Matthews,106
George Feeny,George Feeny,103
Samuel Holt,Samuel Holt,290
Shay (Voltron),Shay (Voltron),2033
Pink (Among Us),Pink (Among Us),101
Red (Among Us),Red (Among Us),135
Ultra Magnus (Transformers),Ultra Magnus (Transformers),445
Bookman,Bookman,136
Jeremy Knox,Jeremy Knox,1434
Matt Boyd,Matt Boyd,2365
Juvia Lockser,Juvia Lockser,2313
Kiritani Haruka,Kiritani Haruka,1360
Shiraishi Ken,Shiraishi Ken,476
Barden Bellas,Barden Bellas,235
Benji Applebaum,Benji Applebaum,251
Demon Brothers (Shall We Date?: Obey Me!),Demon Brothers (Shall We Date?: Obey Me!),247
Original Demon Characters (Shall We Date?: Obey Me!),Original Demon Characters (Shall We Date?: Obey Me!),178
Jack Kline,Jack Kline,5243
Nick (Supernatural),Nick (Supernatural),374
Khadgar (Warcraft),Khadgar (Warcraft),202
Thrall (Warcraft),Thrall (Warcraft),117
Impala (Supernatural),Impala (Supernatural),632
Gil Grissom,Gil Grissom,1237
Sofia Curtis,Sofia Curtis,106
"Jonathan ""Jon"" Kent (Superman & Lois TV 2021)","Jonathan ""Jon"" Kent (Superman & Lois TV 2021)",600
Carter Grant,Carter Grant,682
Lucy Lane,Lucy Lane,435
Jacques Schnee,Jacques Schnee,404
Pyrrha Nikos,Pyrrha Nikos,3409
Mereoleona Vermillion,Mereoleona Vermillion,169
Yuno (Black Clover),Yuno (Black Clover),524
Ronon Dex,Ronon Dex,5405
V | Jihyun Kim,V | Jihyun Kim,359
Vanderwood (Mystic Messenger),Vanderwood (Mystic Messenger),280
Charlie,Charlie,497
Sara Lance,Sara Lance,6313
Temperance Brennan,Temperance Brennan,1138
Mikey Way,Mikey Way,3968
Zack Merrick,Zack Merrick,261
Kim Rhodes,Kim Rhodes,172
Misha Collins,Misha Collins,3310
Agent North Dakota (Red vs. Blue),Agent North Dakota (Red vs. Blue),737
"Odafin ""Fin"" Tutuola","Odafin ""Fin"" Tutuola",1957
Madge Undersee,Madge Undersee,327
Draal (Tales of Arcadia),Draal (Tales of Arcadia),129
Nomura (Tales of Arcadia),Nomura (Tales of Arcadia),113
Alexandra Cabot,Alexandra Cabot,439
Elliot Stabler,Elliot Stabler,2574
Nico Robin,Nico Robin,7995
Shakky (One Piece),Shakky (One Piece),236
Bulma Briefs,Bulma Briefs,2922
Mai (Dragon Ball),Mai (Dragon Ball),100
Travis Mayweather,Travis Mayweather,432
Jack Krauser,Jack Krauser,919
Charlotte Sweetly,Charlotte Sweetly,169
Guinan,Guinan,102
William Riker,William Riker,1216
Norton Campbell | Prospector,Norton Campbell | Prospector,2326
Orpheus | Novelist (Identity V),Orpheus | Novelist (Identity V),921
Kudou | Second One For All User (My Hero Academia),Kudou | Second One For All User (My Hero Academia),154
Maura Gallagher,Maura Gallagher,164
Travis (Hazbin Hotel),Travis (Hazbin Hotel),111
Sixth Doctor (Doctor Who),Sixth Doctor (Doctor Who),193
Varric Tethras,Varric Tethras,4570
Rene Ramirez,Rene Ramirez,216
Jack Sparrow,Jack Sparrow,1882
James Norrington,James Norrington,923
Paintbrush (Inanimate Insanity),Paintbrush (Inanimate Insanity),841
Tissues (Inanimate Insanity),Tissues (Inanimate Insanity),209
Beth Corcoran,Beth Corcoran,219
Diego Hargreeves,Diego Hargreeves,2698
Eudora Patch,Eudora Patch,196
Kim Dan (Jinx),Kim Dan (Jinx),384
Arno Savignac,Arno Savignac,211
Olaf Kaldmeer,Olaf Kaldmeer,249
Chica,Chica,155
Toy Chica (Five Nights at Freddy's),Toy Chica (Five Nights at Freddy's),231
Terra (Kingdom Hearts),Terra (Kingdom Hearts),1237
Kendra (TMNT),Kendra (TMNT),116
S.H.E.L.L.D.O.N. (TMNT),S.H.E.L.L.D.O.N. (TMNT),145
Chloé Bourgeois,Chloé Bourgeois,5432
Namor of Talokan (Marvel),Namor of Talokan (Marvel),434
Okoye (Marvel),Okoye (Marvel),569
Noire (Fire Emblem),Noire (Fire Emblem),184
Alisson Becker,Alisson Becker,450
Rúben Dias,Rúben Dias,370
Haru (Avatar),Haru (Avatar),206
Suki (Avatar),Suki (Avatar),2621
Yuuki Asuna | Asuna,Yuuki Asuna | Asuna,346
Vongola Tenth Generation Guardians,Vongola Tenth Generation Guardians,352
Xanxus (Katekyou Hitman Reborn!),Xanxus (Katekyou Hitman Reborn!),574
Queen of Hearts | Cora,Queen of Hearts | Cora,1198
Tinker Bell (Once Upon a Time),Tinker Bell (Once Upon a Time),757
Hibari Kyouya,Hibari Kyouya,2391
Lapis Lazuli (Steven Universe),Lapis Lazuli (Steven Universe),3181
Godric (True Blood),Godric (True Blood),277
Julian Larson-Armstrong,Julian Larson-Armstrong,156
Gadreel (Supernatural),Gadreel (Supernatural),456
Samandriel (Supernatural),Samandriel (Supernatural),1021
Koda Koji,Koda Koji,139
Tokoyami Fumikage,Tokoyami Fumikage,5646
Player (Carmen Sandiego 2019),Player (Carmen Sandiego 2019),353
Kakuchou (Tokyo Revengers),Kakuchou (Tokyo Revengers),169
Sano Shinichiro,Sano Shinichiro,236
Charlotte,Charlotte,211
Mia,Mia,155
J (Murder Drones),J (Murder Drones),1984
Nori Doorman,Nori Doorman,696
Ellie Sattler,Ellie Sattler,227
Maisie Lockwood,Maisie Lockwood,153
Eret (How to Train Your Dragon),Eret (How to Train Your Dragon),328
Toothless (How to Train Your Dragon),Toothless (How to Train Your Dragon),2124
Nick (What We Do In the Shadows),Nick (What We Do In the Shadows),136
Kevin Day,Kevin Day,5078
Tanaka (Kuroshitsuji),Tanaka (Kuroshitsuji),372
William T. Spears,William T. Spears,1512
Frederica Baumann,Frederica Baumann,178
Satella (Re:Zero),Satella (Re:Zero),153
Sebastian Moran,Sebastian Moran,3970
Victor Trevor,Victor Trevor,809
Hakaze Kaoru,Hakaze Kaoru,1361
Morisawa Chiaki,Morisawa Chiaki,764
Becky Lynch | Rebecca Knox,Becky Lynch | Rebecca Knox,529
Rhea Ripley,Rhea Ripley,664
